Latency	Type	Duration
906530	10	2475.1
909390	11	1250
909800	21	409.5
910230	10	2291.3
912940	11	1250
913330	21	391.57
913760	10	2819.2
916970	12	1250
917650	22	679.3
918070	10	2618.4
921100	12	1250
921680	22	572.52
922110	10	2970
925490	11	1250
925940	21	453.54
926370	10	2652.4
929440	11	1250
929970	21	532.83
930380	10	2335.1
933130	12	1250
933730	22	599.12
940180	10	2077.3
942660	12	1250
943350	22	682.01
943760	10	2002.2
946180	11	1250
946590	21	409.72
947010	10	2452.1
949880	12	1250
950460	22	576.67
950880	10	2465.1
953760	12	1250
954520	22	763.72
954940	10	2052
957410	11	1250
957800	21	387.1
958230	10	2194.7
960830	11	1250
961220	21	394.3
961640	10	2085.3
964140	12	1250
964740	22	596.79
965160	10	2379.9
967960	11	1250
968450	21	489.45
968870	10	2455.3
971740	11	1250
972240	21	502.63
972670	10	2967.6
976050	12	1250
976600	22	551.26
977040	10	2662.7
980120	12	1250
980640	22	520.9
981070	10	2125.5
983600	11	1250
984030	21	431.38
984470	10	2538.9
987420	11	1250
987860	21	440.5
988280	10	2512
991210	12	1250
991760	22	549.7
992200	10	2413.5
995030	11	1250
995540	21	509.31
995980	10	2066.4
998450	12	1250
998920	22	469.98
999350	10	2584.1
1002300	11	1250
1002700	21	336.42
1003100	10	2639.5
1006200	12	1250
1006900	22	730.54
1007400	10	2355.6
1010100	11	1250
1010600	21	480.33
1011000	10	2152.3
1013600	12	1250
1014300	22	684.23
1014700	10	2521.4
1017700	12	1250
1018200	22	558.77
1018700	10	2510.2
1021600	11	1250
1022000	21	467.64
1022500	10	2517.7
1025400	12	1250
1026100	22	697.6
1026600	10	2627
1029600	12	1250
1030100	22	504.02
1030600	10	2292
1033300	11	1250
1033800	21	507.19
1034200	10	2182.5
1036800	12	1250
1037400	22	574.2
1037800	10	2433.8
1040700	11	1250
1041200	21	510.64
1041600	10	2857.2
1044900	11	1250
1045300	21	391.88
1045700	10	2426.7
1048600	12	1250
1049200	22	648.42
1049600	10	2922.1
1053000	11	1250
1053500	21	506
1053900	10	2446.7
1056800	12	1250
1057400	22	613.31
1057900	10	2750.3
1061000	11	1250
1061300	21	304.3
1061800	10	2829.1
1065000	12	1250
1065600	22	564.31
1066000	10	2078.4
1068500	11	1250
1069000	21	512.1
1069500	10	2100.2
1072000	12	1250
1072600	22	614.8
1073100	10	2098.9
1075600	11	1250
1076000	21	389.88
1076400	10	2376
1079200	12	1250
1079800	22	591.95
1080200	10	2473.7
1083100	11	1250
1083600	21	505.05
1084100	10	2520.7
1087000	12	1250
1087600	22	576.24
1088100	10	2173
1090700	12	1250
1091300	22	590.83
1091700	10	2554.2
1094700	11	1250
1095200	21	501.87
1095600	10	2333.6
1098400	11	1250
1098800	21	429.95
1099300	10	2446
1102100	12	1250
1102700	22	615.33
1103200	10	2347.2
1106000	12	1250
1106700	22	735.4
1107200	10	2956.9
1110500	11	1250
1111000	21	446.7
1111400	10	2605.2
1114500	12	1250
1115000	22	548.31
1115500	10	2248.2
1118200	11	1250
1118600	21	411.11
1119000	10	2179.3
1121600	11	1250
1122100	21	436.73
1128800	10	2511.3
1131700	11	1250
1132300	21	550.71
1132700	10	2493.8
1135600	12	1250
1136400	22	712.34
1136800	10	2257.8
1139500	11	1250
1140000	21	481.74
1140400	10	2013.9
1142900	12	1250
1143500	22	682.25
1144000	10	2696.3
1147100	11	1250
1147600	21	431.64
1148000	10	2521.4
1151000	12	1250
1151700	22	756.04
1152200	10	2332.8
1154900	12	1250
1155600	22	634.39
1156000	10	2578.1
1159000	11	1250
1159400	21	419.03
1159900	10	2550.4
1162900	12	1250
1163600	22	733.08
1164100	10	2703.9
1167200	11	1250
1167600	21	347.08
1168000	10	2616.9
1171100	12	1250
1171800	22	697.59
1172200	10	2902.8
1175500	11	1250
1176100	21	519.77
1176500	10	2573.9
1179500	12	1250
1180200	22	698.96
1180700	10	2379.3
1183500	11	1250
1184000	21	565.23
1184500	10	2021.3
1186900	12	1250
1187600	22	612.76
1188000	10	2588.3
1191000	12	1250
1191800	22	758.2
1192200	10	2158.9
1194800	11	1250
1195200	21	405.41
1195700	10	2286.1
1198400	12	1250
1199000	22	625.97
1199500	10	2695.5
1202600	11	1250
1203100	21	508.08
1203600	10	2599
1206600	11	1250
1207100	21	431.25
1207500	10	2185.1
1210100	12	1250
1210700	22	526.56
1211100	10	2087.1
1213700	11	1250
1214100	21	462.16
1214600	10	2855.7
1217900	12	1250
1218400	22	575.96
1218900	10	2916.3
1222300	11	1250
1222700	21	479.58
1223200	10	2167.9
1225800	12	1250
1226500	22	672.44
1226900	10	2828.6
1230200	11	1250
1230800	21	553.14
1231200	10	2620.8
1234300	12	1250
1234800	22	567.04
1235300	10	2742.7
1238500	11	1250
1239000	21	545.19
1239500	10	2782.7
1242700	12	1250
1243600	22	883.36
1244100	10	2267.5
1246800	12	1250
1247700	22	922.25
1248200	10	2292.7
1250900	11	1250
1251500	21	599.11
1252000	10	2091.9
1254500	12	1250
1255100	22	651.9
1255600	10	2678
1258700	11	1250
1259300	21	518.36
1259700	10	2153.7
1262300	11	1250
1262800	21	434.29
1263200	10	2057.9
1265700	12	1250
1266400	22	700.59
1266900	10	2237.2
1269600	11	1250
1270000	21	432.94
1270500	10	2297.2
1273200	11	1250
1273600	21	436.92
1274100	10	2469.8
1277000	12	1250
1277700	22	622.71
1278100	10	2711.3
1281300	12	1250
1281900	22	596.56
1282400	10	2999
1285800	11	1250
1286200	21	442.98
1286700	10	2191
1289400	12	1250
1290000	22	657.53
1290500	10	2317.4
1293300	11	1250
1293800	21	586.77
1294300	10	2686
1297400	12	1250
1298100	22	672.27
1298600	10	2474.1
1301500	12	1250
1302200	22	730.91
1302700	10	2388.6
1305500	11	1250
1306100	21	537.75
1306500	10	2148.9
1309100	11	1250
1309700	21	582.2
1310200	10	2349.9
1313000	12	1250
1313500	22	527.36
1314000	10	2697.5
1317100	11	1250
1317600	21	498.79
1323700	10	2312.6
1326500	11	1250
1327000	21	518.26
1327500	10	2111.8
1330000	12	1250
1330900	22	902.53
1331400	10	2991.4
1334800	11	1250
1335300	21	476.5
1335800	10	2136.6
1338400	12	1250
1339100	22	739.41
1339600	10	2012.2
1342000	11	1250
1342500	21	493.5
1343000	10	2457.9
1345900	12	1250
1346500	22	610.33
1347000	10	2856.9
1350300	12	1250
1350900	22	577.7
1351400	10	2876.9
1354700	11	1250
1355300	21	572.51
1355800	10	2302.5
1358500	12	1250
1359100	22	598.31
1359600	10	2646.4
1362700	11	1250
1363100	21	388.21
1363600	10	2635.7
1366600	11	1250
1367100	21	435.83
1367600	10	2132.9
1370100	12	1250
1370700	22	516.74
1371100	10	2287.9
1373900	11	1250
1374300	21	439.86
1374800	10	2581.2
1377800	12	1250
1378500	22	656.29
1379000	10	2319.5
1381700	12	1250
1382400	22	623.77
1382800	10	2438.4
1385700	11	1250
1386200	21	472.02
1386700	10	2963.5
1390100	11	1250
1390600	21	473.1
1391000	10	2722.4
1394200	12	1250
1394900	22	632.25
1395300	10	2088.7
1397900	12	1250
1398600	22	690.49
1399000	10	2186.4
1401700	11	1250
1402300	21	560.7
1402700	10	2960.5
1406200	12	1250
1406800	22	631.82
1407300	10	2035.1
1409800	11	1250
1410200	21	448.13
1410700	10	2169
1413300	12	1250
1414000	22	651.43
1414400	10	2950.9
1417900	11	1250
1418300	21	463.87
1418800	10	2218.8
1421500	11	1250
1422000	21	497.67
1422500	10	2976.6
1425900	12	1250
1426700	22	759.53
1427200	10	2202.5
1429800	11	1250
1430200	21	420.93
1430700	10	2257.9
1433400	11	1250
1434000	21	520.69
1434400	10	2245.2
1437200	12	1250
1438000	22	833.5
1438500	10	2292.4
1441200	12	1250
1441800	22	567.61
1442300	10	2875.6
1445600	11	1250
1446000	21	371.93
1446500	10	2652.2
1449600	12	1250
1450300	22	639.26
1450800	10	2188.4
1453400	11	1250
1454000	21	573.85
1454500	10	2910.8
1457800	12	1250
1458500	22	680.99
1459000	10	2869.3
1462300	12	1250
1462900	22	511.6
1463300	10	2690.3
1466500	11	1250
1467000	21	513.01
1467500	10	2917.2
1470900	12	1250
1471600	22	703.04
1472100	10	2951.8
1475500	11	1250
1476100	21	608.95
1476600	10	2421.4
1479500	11	1250
1479900	21	430.08
1480400	10	2763.8
1483600	12	1250
1484200	22	556.26
1484700	10	2506.1
1487700	12	1250
1488800	22	1101.4
1489200	10	2183.5
1491900	11	1250
1492300	21	370.37
1492700	10	2005.6
1495200	11	1250
1495700	21	423.78
1496100	10	2104.9
1498700	12	1250
1499300	22	595.72
1499800	10	2963.7
1503200	11	1250
1503700	21	455.66
1504200	10	2871.8
1507500	11	1250
1508000	21	523.07
1508500	10	2637.8
1511600	12	1250
1512400	22	787.11
1512900	10	2320.8
1515700	12	1250
1516400	22	695.81
